County,Population 2019,Population 2010,Population percent change,Population Census 2010,Under 5 years,Under 18 years,65 years and over,Female persons,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Two or More Races,Hispanic or Latino,"White alone, not Hispanic or Latino",Veterans,Foreign born persons,Housing units,Owner occupied housing unit rate,Median value of owner occupied housing units,Median selected monthly owner costs with a mortgage,Median selected monthly owner costs without a mortgage,Median gross rent,Building permits,Households,Persons per household,Living in same house 1 year ago,Language other than English spoken at home,"Households with a computer, percent",Households with a broadband Internet subscription,High school graduate or higher,Bachelor degree or higher,"With a disability, under age 65 years","Persons without health insurance, under age 65 years","In civilian labor force, total","In civilian labor force, female",Total accommodation and food services sales,Total health care and social assistance receipts or revenue,Total manufacturers shipments,Total merchant wholesaler sales,Total retail sales,Total retail sales per capita,Mean travel time to work minutes,Median household income in 2019 dollars,Per capita income in past 12 months in 2019 dollars,Persons in poverty,Total employer establishments,Total employment,Total annual payroll,"Total employment, percent change",Total nonemployer establishments,All firms,Men owned firms,Women owned firms,Minority owned firms,Nonminority owned firms,Veteran owned firms,Nonveteran owned firms,Population per square mile,Land area in square miles,FIPS Code,totalcountconfirmed
Santa Cruz,"273,213","262,350",0.0410,"262,382",0.0490,0.1900,0.1730,0.5050,0.8700,0.0150,0.0180,0.0530,0.0020,0.0420,0.3400,0.5680,"10,208",0.1780,"107,149",0.6010,756600,2825,665,1717,429,"95,818",2.72,0.8540,0.3210,0.9240,0.8730,0.8630,0.4080,0.0880,0.0730,0.6370,0.5950,"586,009","1,689,915","1,213,401","5,898,193","4,367,955",16373,27.7,82234,41312,0.1060,"7,051","79,641","3,991,525",0.0080,"25,378","29,325","14,998","10,986","6,086","22,079","2,135","25,951",589.4,445.17,"06087""""",6687
Shasta,"180,080","177,221",0.0160,"177,223",0.0580,0.2160,0.2110,0.5090,0.8760,0.0120,0.0320,0.0310,0.0020,0.0460,0.1050,0.7920,"13,808",0.0550,"78,618",0.6400,252300,1593,499,1039,544,"71,181",2.47,0.8590,0.0830,0.8930,0.8030,0.9110,0.2220,0.1240,0.0700,0.5420,0.5070,"285,536","1,324,574","511,871","1,023,859","2,507,063",14038,20.5,54667,29720,0.1330,"4,236","50,673","2,143,426",0.0080,"11,945","13,342","7,068","4,162","1,752","10,680","1,422","10,968",46.9,"3,775.40","06089""""",7000
Sierra,"3,005","3,239",-0.0720,"3,240",0.0460,0.1650,0.3200,0.4980,0.9260,0.0070,0.0260,0.0090,0.0010,0.0310,0.1270,0.8210,292,0.0230,"2,368",0.7540,231400,1525,548,972,7,"1,319",2.28,0.9470,0.0970,0.8070,0.7480,0.9240,0.1790,0.1270,0.0710,0.5170,0.5070,D,D,D,D,"5,072",1644,30.6,52148,33747,0.1270,69,188,"8,054",-0.1000,259,269,183,64,F,242,F,222,3.4,953.21,"06091""""",23
Siskiyou,"43,539","44,900",-0.0300,"44,900",0.0500,0.2010,0.2610,0.5030,0.8590,0.0150,0.0510,0.0160,0.0040,0.0550,0.1320,0.7520,"3,871",0.0540,"24,226",0.6500,198900,1329,430,856,50,"19,240",2.23,0.8340,0.0890,0.8750,0.8020,0.9020,0.2320,0.1290,0.0840,0.4980,0.4800,"71,463","174,118","203,399","165,194","426,654",9663,18.4,45241,28615,0.1740,"1,062","8,554","324,406",-0.0370,"3,347","3,489","1,626","1,151",411,"2,867",283,"3,028",7.2,"6,277.89","06093""""",827
Solano,"447,643","413,343",0.0830,"413,344",0.0600,0.2200,0.1630,0.5020,0.5960,0.1480,0.0130,0.1620,0.0100,0.0710,0.2730,0.3720,"33,337",0.2010,"159,806",0.6150,406900,2168,558,1592,"1,089","149,865",2.88,0.8560,0.2990,0.9440,0.9050,0.8840,0.2690,0.0810,0.0580,0.6220,0.5850,"625,627","3,241,785","11,412,211","2,803,726","5,106,627",12137,33.2,81472,35400,0.0900,"7,176","115,426","5,997,197",0.0310,"26,699","25,724","11,695","10,091","11,202","13,085","2,296","21,710",503,821.77,"06095""""",14361
Sonoma,"494,336","483,861",0.0220,"483,878",0.0480,0.1930,0.2070,0.5120,0.8680,0.0210,0.0220,0.0460,0.0040,0.0400,0.2730,0.6290,"25,613",0.1640,"208,305",0.6150,609600,2441,649,1621,"2,429","189,374",2.59,0.8650,0.2560,0.9420,0.8950,0.8880,0.3550,0.0800,0.0820,0.6490,0.6030,"1,058,691","3,156,169","6,131,694","4,443,204","6,016,331",12233,25.6,81018,42178,0.0720,"14,304","177,148","9,639,136",0.0240,"46,153","52,975","26,518","19,302","9,178","41,571","4,296","45,989",307.1,"1,575.85","06097""""",15993
Stanislaus,"550,660","514,450",0.0700,"514,453",0.0710,0.2700,0.1340,0.5040,0.8330,0.0350,0.0200,0.0610,0.0090,0.0420,0.4760,0.4040,"21,051",0.2030,"182,978",0.5780,291600,1702,503,1155,699,"173,898",3.09,0.8790,0.4290,0.9160,0.8480,0.7890,0.1710,0.0900,0.0710,0.6090,0.5340,"705,698","3,634,960","11,703,620","5,295,116","5,933,581",11373,29.9,60704,26258,0.1300,"9,156","145,041","6,675,130",0.0150,"30,181","33,036","16,930","11,455","13,341","18,348","2,914","28,584",344.2,"1,494.83","06099""""",28582
Sutter,"96,971","94,756",0.0230,"94,737",0.0690,0.2580,0.1560,0.5020,0.7270,0.0270,0.0240,0.1700,0.0040,0.0480,0.3190,0.4490,"5,986",0.2220,"34,583",0.5770,279400,1677,504,1033,140,"32,636",2.91,0.8530,0.3730,0.8900,0.8270,0.7820,0.1820,0.0890,0.0900,0.5770,0.5070,"116,640","392,432","543,504","1,197,304","1,069,489",11255,27.5,59050,27371,0.1280,"1,813","22,670","970,146",0.0370,"6,251","5,461","2,907","1,806","1,957","3,108",542,"4,598",157.3,602.41,"06101""""",5309
Tehama,"65,084","63,440",0.0260,"63,463",0.0610,0.2380,0.1960,0.5030,0.9020,0.0110,0.0330,0.0140,0.0020,0.0370,0.2580,0.6730,"4,392",0.0840,"27,840",0.6540,215900,1411,413,872,152,"24,189",2.61,0.8710,0.1890,0.8600,0.7570,0.8450,0.1570,0.1340,0.0810,0.5330,0.4900,"65,144","179,484","449,524","88,813","654,574",10324,23.4,44514,24301,0.1630,967,"12,513","538,788",0.0170,"3,307","3,954","2,219","1,140",784,"3,001",464,"3,282",21.5,"2,949.71","06103""""",2480
Trinity,"12,285","13,784",-0.1090,"13,786",0.0460,0.1730,0.2830,0.4860,0.8700,0.0080,0.0520,0.0150,0.0020,0.0530,0.0740,0.8190,"1,150",0.0470,"9,013",0.6890,287700,1454,355,799,16,"5,939",2.09,0.8870,0.0860,0.8160,0.6780,0.9240,0.1950,0.1300,0.0900,0.4530,0.4390,"13,381","27,947",D,D,"72,655",5372,21.6,40846,26523,0.1650,246,"1,537","60,871",-0.0310,915,"1,123",543,434,214,838,240,805,4.3,"3,179.25","06105""""",213
Tulare,"466,195","442,182",0.0540,"442,179",0.0780,0.3050,0.1160,0.5000,0.8820,0.0220,0.0280,0.0400,0.0020,0.0270,0.6560,0.2770,"14,633",0.2180,"151,603",0.5710,205000,1420,421,942,"1,872","138,238",3.3,0.8860,0.5130,0.8760,0.7770,0.7080,0.1460,0.0820,0.0900,0.5900,0.5110,"451,880","1,610,236","8,362,447","3,890,547","3,903,527",8637,22.6,49687,21380,0.1890,"6,470","97,726","3,949,277",0.0110,"21,098","23,310","12,168","8,115","11,023","11,406","1,677","20,452",91.7,"4,824.22","06107""""",27852
Tuolumne,"54,478","55,368",-0.0160,"55,365",0.0440,0.1680,0.2700,0.4820,0.9030,0.0200,0.0230,0.0150,0.0030,0.0360,0.1270,0.7970,"5,190",0.0480,"31,700",0.7130,289200,1748,571,1009,66,"22,502",2.24,0.8360,0.0790,0.9050,0.8200,0.9070,0.2050,0.1420,0.0620,0.4820,0.4770,"92,814","345,557","173,104",D,"573,262",10614,26.9,60108,34702,0.1130,"1,281","12,741","542,100",-0.0070,"4,246","4,466","2,140","1,484",350,"3,939",444,"3,596",24.9,"2,220.88","06109""""",1992
Ventura,"846,006","823,398",0.0270,"823,318",0.0570,0.2260,0.1620,0.5050,0.8410,0.0240,0.0190,0.0790,0.0030,0.0350,0.4320,0.4470,"39,781",0.2180,"291,512",0.6320,588400,2567,617,1776,"1,146","271,040",3.08,0.8970,0.3840,0.9270,0.8820,0.8500,0.3380,0.0680,0.0940,0.6500,0.5910,"1,597,442","3,987,634","8,333,976",D,"11,194,185",13390,27.2,88131,38595,0.0820,"21,344","264,123","14,565,661",0.0230,"70,479","76,285","39,995","26,682","25,161","48,210","5,861","67,137",446.7,"1,843.13","06111""""",29404
Yolo,"220,500","200,855",0.0980,"200,849",0.0530,0.2080,0.1290,0.5150,0.7400,0.0300,0.0180,0.1510,0.0060,0.0560,0.3190,0.4600,"7,678",0.2320,"79,263",0.5160,424900,2225,580,1324,895,"74,296",2.81,0.7930,0.3800,0.9400,0.8830,0.8650,0.4140,0.0600,0.0680,0.6010,0.5610,"656,580","846,965","2,538,431","6,762,093","1,968,762",9645,24,70228,34515,0.1690,"4,195","67,490","3,299,921",0.0230,"13,931","13,884","6,840","5,186","4,258","8,826","1,078","11,829",197.9,"1,014.69","06113""""",6800
Yuba,"78,668","72,142",0.0900,"72,155",0.0780,0.2740,0.1310,0.4940,0.7840,0.0450,0.0290,0.0730,0.0060,0.0640,0.2910,0.5400,"5,882",0.1280,"29,049",0.6050,257100,1677,446,1002,538,"26,354",2.84,0.8310,0.2530,0.9050,0.8310,0.8230,0.1710,0.1120,0.0780,0.5610,0.5050,"54,774","396,851","107,200",D,"390,218",5351,30,58054,25583,0.1520,798,"10,096","471,655",-0.0210,"3,742","3,432","1,687","1,357",958,"2,345",311,"2,935",114.2,631.84,"06115""""",3035
