County,Population 2019,Population 2010,Population percent change,Population Census 2010,Under 5 years,Under 18 years,65 years and over,Female persons,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Two or More Races,Hispanic or Latino,"White alone, not Hispanic or Latino",Veterans,Foreign born persons,Housing units,Owner occupied housing unit rate,Median value of owner occupied housing units,Median selected monthly owner costs with a mortgage,Median selected monthly owner costs without a mortgage,Median gross rent,Building permits,Households,Persons per household,Living in same house 1 year ago,Language other than English spoken at home,"Households with a computer, percent",Households with a broadband Internet subscription,High school graduate or higher,Bachelor degree or higher,"With a disability, under age 65 years","Persons without health insurance, under age 65 years","In civilian labor force, total","In civilian labor force, female",Total accommodation and food services sales,Total health care and social assistance receipts or revenue,Total manufacturers shipments,Total merchant wholesaler sales,Total retail sales,Total retail sales per capita,Mean travel time to work minutes,Median household income in 2019 dollars,Per capita income in past 12 months in 2019 dollars,Persons in poverty,Total employer establishments,Total employment,Total annual payroll,"Total employment, percent change",Total nonemployer establishments,All firms,Men owned firms,Women owned firms,Minority owned firms,Nonminority owned firms,Veteran owned firms,Nonveteran owned firms,Population per square mile,Land area in square miles,FIPS Code,totalcountconfirmed
Glenn,"28,393","28,122",0.0100,"28,122",0.0700,0.2660,0.1580,0.4910,0.8910,0.0130,0.0320,0.0310,0.0020,0.0300,0.4250,0.5050,"1,411",0.1820,"11,098",0.5940,233200,1518,422,835,48,"10,085",2.74,0.9020,0.3800,0.8480,0.7160,0.7480,0.1420,0.0990,0.1190,0.5570,0.4630,"33,163","51,980",D,"160,076","191,222",6831,22.2,49633,22668,0.1210,469,"4,944","256,939",0.0010,"1,437","1,880",961,705,593,"1,238",89,"1,587",21.4,"1,313.95","06021""""",1244
Humboldt,"135,558","134,611",0.0070,"134,623",0.0510,0.1890,0.1860,0.5040,0.8320,0.0150,0.0640,0.0290,0.0030,0.0570,0.1210,0.7380,"8,079",0.0530,"63,727",0.5680,313200,1742,464,981,387,"54,679",2.41,0.8080,0.1170,0.9110,0.8350,0.9050,0.3040,0.1210,0.0820,0.5980,0.5830,"257,506","695,496",D,"361,890","1,759,201",13048,18.7,48041,28769,0.1910,"3,203","35,465","1,366,368",0.0140,"11,275","12,821","6,709","4,162","1,853","10,333","1,132","11,005",37.7,"3,567.99","06023""""",1322
Imperial,"181,215","174,524",0.0380,"174,528",0.0800,0.2850,0.1330,0.4870,0.9020,0.0330,0.0250,0.0210,0.0020,0.0170,0.8500,0.1000,"5,528",0.3070,"58,280",0.5830,195800,1458,451,830,398,"44,829",3.81,0.8800,0.7650,0.8720,0.7750,0.6970,0.1520,0.0910,0.0820,0.5210,0.5110,"182,646","511,132","1,465,960","1,599,144","1,676,853",9477,22.1,47622,18018,0.2200,"2,561","32,846","1,165,728",0.0230,"10,098","11,202","5,340","4,765","8,501","2,330",608,"10,000",41.8,"4,176.60","06025""""",20208
Inyo,"18,039","18,542",-0.0270,"18,546",0.0550,0.2070,0.2340,0.4990,0.7980,0.0120,0.1350,0.0170,0.0020,0.0360,0.2340,0.6080,"1,526",0.0930,"9,609",0.6550,269100,1873,483,919,8,"7,950",2.18,0.8850,0.1720,0.9160,0.8030,0.8860,0.2720,0.0660,0.0780,0.5830,0.5660,"99,615","121,556",D,D,"229,032",12383,16.5,57316,32590,0.1170,504,"5,190","211,129",0.0030,"1,299","1,717",732,591,362,"1,256",98,"1,552",1.8,"10,180.88","06027""""",450
Kern,"900,202","839,621",0.0720,"839,631",0.0760,0.2880,0.1120,0.4880,0.8230,0.0630,0.0260,0.0540,0.0030,0.0320,0.5460,0.3280,"35,594",0.1990,"302,898",0.5830,213900,1527,452,978,"2,261","270,282",3.17,0.8610,0.4420,0.8750,0.7970,0.7410,0.1640,0.0780,0.0900,0.5800,0.5240,"1,092,151","3,675,000","6,890,714","6,987,888","8,640,550",10092,23.3,53350,23326,0.1900,"13,040","197,072","9,024,948",0.0390,"49,553","51,393","25,177","20,004","26,610","23,006","3,770","45,383",103.3,"8,131.92","06029""""",53683
Kings,"152,940","152,974",0.0000,"152,982",0.0760,0.2700,0.1050,0.4490,0.8080,0.0750,0.0320,0.0440,0.0040,0.0370,0.5530,0.3130,"9,684",0.1890,"46,965",0.5230,215900,1459,446,990,409,"43,452",3.13,0.8190,0.4150,0.9050,0.8040,0.7340,0.1470,0.0860,0.0850,0.5180,0.5150,"378,595","587,818","2,904,014","746,638","1,031,953",6818,22.8,57848,22373,0.1600,"1,638","26,315","1,068,151",0.0500,"5,119","6,091","3,083","2,112","2,862","2,876",691,"5,039",110.1,"1,389.42","06031""""",14057
Lake,"64,386","64,662",-0.0040,"64,665",0.0590,0.2120,0.2310,0.5000,0.8700,0.0210,0.0450,0.0140,0.0030,0.0470,0.2200,0.6890,"5,360",0.0870,"34,572",0.6640,219400,1561,505,978,88,"25,660",2.46,0.8260,0.1620,0.8740,0.7660,0.8580,0.1550,0.1340,0.0890,0.5090,0.4820,"88,833","256,618","80,536",D,"522,337",8164,30.7,47040,27362,0.1830,"1,104","9,951","407,417",0.0150,"3,898","4,466","2,293","1,624",639,"3,713",503,"3,812",51.5,"1,256.46","06033""""",1374
Lassen,"30,573","34,895",-0.1240,"34,895",0.0480,0.1730,0.1550,0.3780,0.8090,0.0840,0.0430,0.0160,0.0090,0.0400,0.1930,0.6470,"1,984",0.0560,"12,784",0.6760,203000,1449,389,956,12,"9,280",2.26,0.7350,0.1840,0.8520,0.7880,0.8320,0.1290,0.1330,0.0480,0.3460,0.4940,"35,984","84,085",X,D,"215,837",6413,20.6,56352,22134,0.1650,406,"3,480","134,114",-0.0220,"1,116","1,236",564,410,231,938,97,"1,025",7.7,"4,541.18","06035""""",3417
Los Angeles,"10,039,107","9,819,968",0.0220,"9,818,605",0.0580,0.2140,0.1410,0.5070,0.7070,0.0900,0.0140,0.1540,0.0040,0.0310,0.4860,0.2610,"261,742",0.3400,"3,579,329",0.4580,583200,2498,608,1460,"21,565","3,316,795",2.99,0.8970,0.5660,0.9200,0.8430,0.7910,0.3250,0.0610,0.1020,0.6460,0.5820,"22,965,135","67,261,267","163,829,606","199,804,798","121,389,378",12184,31.8,68044,34156,0.1340,"280,826","3,869,073","235,841,957",0.0130,"1,107,080","1,146,701","601,676","439,513","631,218","481,643","69,608","1,044,750","2,419.60","4,057.88","06037""""",571093
Madera,"157,327","150,834",0.0430,"150,865",0.0730,0.2740,0.1430,0.5180,0.8590,0.0420,0.0440,0.0260,0.0030,0.0260,0.5880,0.3320,"6,317",0.2020,"51,438",0.6410,251200,1551,478,1014,644,"44,881",3.28,0.8790,0.4530,0.8980,0.7990,0.7190,0.1460,0.0870,0.1070,0.5430,0.4790,"150,065","760,956","1,441,125","508,930","1,012,856",6654,28.3,57585,22853,0.1760,"1,984","27,141","1,216,841",0.0140,"7,504","8,094","3,888","3,202","3,203","4,524",618,"7,044",70.6,"2,137.07","06039""""",8465
Marin,"258,826","252,430",0.0250,"252,409",0.0450,0.1980,0.2300,0.5110,0.8530,0.0280,0.0100,0.0660,0.0030,0.0400,0.1630,0.7110,"10,516",0.1810,"113,344",0.6370,995800,3649,922,2069,240,"105,432",2.4,0.8640,0.2190,0.9500,0.9130,0.9330,0.5950,0.0510,0.0480,0.6370,0.5880,"729,652","2,102,255",D,"1,864,552","5,087,526",19868,32.6,115246,72466,0.0690,"10,091","101,704","7,392,513",0.0030,"38,207","39,815","19,795","15,500","5,813","32,232","3,304","34,571",485.1,520.31,"06041""""",8721
Mariposa,"17,203","18,247",-0.0570,"18,251",0.0420,0.1610,0.2890,0.4910,0.8930,0.0130,0.0350,0.0160,0.0020,0.0400,0.1210,0.7930,"1,485",0.0580,"10,445",0.6840,275700,1659,447,929,35,"7,643",2.13,0.8760,0.0960,0.8630,0.7490,0.9060,0.2460,0.1500,0.0830,0.5180,0.4800,"157,933",D,D,"18,908","102,452",5722,26.6,48820,28757,0.1510,312,"2,528","87,817",0.0260,"1,376","1,529",733,586,189,"1,246",162,"1,285",12.6,"1,448.82","06043""""",172
Mendocino,"86,749","87,850",-0.0130,"87,841",0.0570,0.2110,0.2310,0.5040,0.8610,0.0110,0.0630,0.0230,0.0030,0.0390,0.2580,0.6430,"5,941",0.1240,"41,027",0.5990,377500,1906,499,1146,132,"34,408",2.47,0.8690,0.2140,0.8780,0.8110,0.8650,0.2440,0.1260,0.1000,0.5820,0.5300,"182,602","427,217","453,444","407,625","1,095,233",12527,20.8,51416,29035,0.1400,"2,472","23,683","926,856",Z,"8,390","9,569","4,763","3,226","1,518","7,528",762,"8,242",25.1,"3,506.34","06045""""",1942
Merced,"277,680","255,796",0.0860,"255,793",0.0770,0.2930,0.1140,0.4950,0.8220,0.0390,0.0250,0.0780,0.0040,0.0320,0.6100,0.2650,"9,225",0.2630,"86,388",0.5220,252700,1493,460,1021,948,"80,008",3.32,0.8660,0.5330,0.9110,0.8390,0.6910,0.1380,0.0910,0.0900,0.5960,0.5100,"232,910","788,114","4,435,633","2,260,180","1,959,473",7470,28.6,53672,23011,0.1700,"3,140","46,063","1,776,766",0.0080,"11,717","12,848","7,163","4,071","6,912","5,448","1,060","11,149",132.2,"1,934.97","06047""""",15648
Modoc,"8,841","9,682",-0.0870,"9,686",0.0480,0.1940,0.2750,0.4970,0.8820,0.0140,0.0510,0.0120,0.0040,0.0370,0.1460,0.7720,780,0.0750,"5,276",0.7490,140600,1149,334,717,6,"3,616",2.33,0.8300,0.1280,0.7830,0.6970,0.8480,0.1520,0.0890,0.0940,0.4390,0.4450,"8,304","33,918",D,D,"45,741",4904,16.1,45507,22843,0.2050,154,"1,137","45,228",-0.0830,590,427,162,194,55,350,40,347,2.5,"3,917.77","06049""""",179
Mono,"14,444","14,206",0.0170,"14,202",0.0480,0.1780,0.1610,0.4700,0.9010,0.0080,0.0290,0.0260,0.0040,0.0330,0.2680,0.6580,705,0.1970,"14,208",0.6440,312500,1851,538,1206,69,"4,765",2.93,0.8390,0.2630,0.9260,0.8410,0.8860,0.2880,0.0400,0.1020,0.7200,0.7050,"246,872","69,406",D,D,"139,784",9742,15.1,62260,34552,0.1010,614,"7,036","226,382",0.0410,"1,443","1,750",987,518,230,"1,467",256,"1,367",4.7,"3,048.98","06051""""",718
Monterey,"434,061","415,059",0.0460,"415,057",0.0690,0.2600,0.1400,0.4910,0.8280,0.0340,0.0260,0.0670,0.0060,0.0380,0.5940,0.2940,"16,874",0.2980,"143,201",0.5100,516600,2265,593,1495,480,"127,155",3.27,0.8820,0.5520,0.9050,0.8420,0.7150,0.2470,0.0550,0.1190,0.5950,0.5430,"1,328,768","2,150,972","2,258,929","5,775,222","4,457,401",10445,23.4,71015,30073,0.1260,"8,765","116,241","5,533,432",0.0270,"25,963","30,151","15,108","10,537","11,087","17,358","2,414","25,705",126.5,"3,280.60","06053""""",21951
Napa,"137,744","136,535",0.0090,"136,484",0.0480,0.2020,0.1970,0.5020,0.8360,0.0250,0.0130,0.0890,0.0040,0.0330,0.3460,0.5180,"7,363",0.2210,"55,647",0.6420,635900,2665,675,1700,749,"48,705",2.78,0.8890,0.3490,0.9360,0.8910,0.8550,0.3570,0.0750,0.0800,0.6510,0.6010,"774,149","1,360,685","4,623,531",D,"1,699,004",12219,25.6,88596,45195,0.0740,"4,317","64,285","3,588,207",0.0020,"12,334","14,236","7,574","4,309","3,192","10,398","1,446","11,880",182.4,748.36,"06055""""",4612
Nevada,"99,755","98,747",0.0100,"98,764",0.0420,0.1700,0.2840,0.5090,0.9330,0.0060,0.0130,0.0150,0.0020,0.0310,0.0980,0.8470,"8,015",0.0480,"54,809",0.7420,431000,2112,628,1273,502,"40,855",2.4,0.8910,0.0760,0.9260,0.8570,0.9440,0.3720,0.0930,0.0680,0.5470,0.4960,"231,154","525,893","319,706",D,"1,012,263",10299,25.5,66096,39233,0.0940,"3,108","29,483","1,230,985",0.0140,"12,499","11,822","6,086","3,818","1,029","10,382","1,136","9,929",103.1,957.77,"06057""""",2173
Orange,"3,175,692","3,008,989",0.0550,"3,010,232",0.0580,0.2170,0.1530,0.5070,0.7110,0.0210,0.0100,0.2170,0.0040,0.0360,0.3400,0.3980,"107,811",0.3010,"1,118,110",0.5740,679300,2789,651,1854,"8,989","1,037,492",3.01,0.8730,0.4560,0.9530,0.9070,0.8550,0.4060,0.0500,0.0810,0.6550,0.5840,"9,050,642","20,682,197","47,299,399","97,795,982","45,193,625",14625,28,90234,41514,0.0950,"98,442","1,531,111","91,976,053",0.0190,"323,593","340,116","180,456","119,431","145,603","182,028","22,774","303,786","3,807.70",790.57,"06059""""",118367
Placer,"398,329","348,502",0.1430,"348,432",0.0530,0.2210,0.1990,0.5120,0.8390,0.0190,0.0110,0.0820,0.0030,0.0460,0.1440,0.7150,"25,888",0.1140,"168,919",0.7190,471500,2377,689,1542,"2,352","142,855",2.67,0.8640,0.1550,0.9520,0.8960,0.9450,0.3970,0.0610,0.0460,0.6010,0.5470,"1,452,014","3,125,443","932,893","4,474,436","6,437,879",17800,27.9,89691,43759,0.0660,"11,053","155,719","8,300,548",0.0400,"34,802","31,846","16,123","10,464","5,173","24,725","3,095","26,285",247.6,"1,407.01","06061""""",10756
Plumas,"18,807","20,007",-0.0600,"20,007",0.0480,0.1740,0.2890,0.5020,0.9050,0.0110,0.0320,0.0110,0.0020,0.0400,0.0930,0.8310,"1,876",0.0420,"15,916",0.7290,242300,1528,483,916,38,"8,450",2.16,0.8470,0.0790,0.8840,0.7790,0.9510,0.2370,0.1170,0.0650,0.5110,0.4890,D,"85,167",D,D,"139,325",7182,19.8,55359,35198,0.1320,606,"3,788","178,647",0.0310,"1,648","2,039",942,560,198,"1,742",218,"1,653",7.8,"2,553.04","06063""""",324
Riverside,"2,470,546","2,189,765",0.1280,"2,189,641",0.0630,0.2490,0.1480,0.5010,0.7960,0.0730,0.0190,0.0720,0.0040,0.0360,0.5000,0.3410,"122,308",0.2160,"857,148",0.6630,350100,1993,572,1375,"8,992","724,893",3.28,0.8720,0.4110,0.9270,0.8660,0.8200,0.2230,0.0750,0.0910,0.5970,0.5300,"5,230,919","8,412,078","15,137,013","18,716,807","25,058,857",11045,34,67005,28596,0.1130,"39,822","594,454","24,661,871",0.0340,"176,665","175,971","90,803","66,313","85,804","84,871","13,760","156,472",303.8,"7,206.48","06065""""",139325
